School Name,Address
RESEDA HS,18230 KITTRIDGE ST RESEDA 91335
SOCES MAG,18605 ERWIN ST RESEDA 91335
VANALDEN ES,19019 DELANO ST RESEDA 91335
CALVERT CHRTR FOR ENR STUDIES,19850 DELANO ST WOODLAND HILLS 91367
NORTHRIDGE MS,17960 CHASE ST NORTHRIDGE 91325
STAGG ES,7839 AMESTOY AVE VAN NUYS 91406
LORNE ES,17440 LORNE ST NORTHRIDGE 91325
ANATOLA ES,7364 ANATOLA AVE VAN NUYS 91406
LEMAY ES,17520 VANOWEN ST VAN NUYS 91406
MULHOLLAND MS,17120 VANOWEN ST VAN NUYS 91406
GARDEN GROVE ES,18141 VALERIO ST RESEDA 91335
PARTHENIA ES,16825 NAPA ST NORTH HILLS 91343
LANGDON ES,8817 LANGDON AVE NORTH HILLS 91343
FULTON COLLEGE PREP,7477 KESTER AVE VAN NUYS 91405
SYLVAN PARK ES,6238 NOBLE AVE VAN NUYS 91411
BASSETT ES,15756 BASSETT ST VAN NUYS 91406
COHASSET ES,15810 SATICOY ST VAN NUYS 91406
SATICOY ES,7850 ETHEL AVE NO HOLLYWOOD 91605
STRATHERN ES,7939 ST CLAIR AVE NO HOLLYWOOD 91605
POLYTECHNIC HS,12431 ROSCOE BLVD SUN VALLEY 91352
ARMINTA ES,11530 STRATHERN ST NO HOLLYWOOD 91605
CAMELLIA ES,7451 CAMELLIA AVE NO HOLLYWOOD 91605
SUN VALLEY ET MAG,7330 BAKMAN AVE SUN VALLEY 91352
FAIR ES,6501 FAIR AVE NO HOLLYWOOD 91606
VICTORY ES,6315 RADFORD AVE NO HOLLYWOOD 91606
VAN DEENE ES,826 W JAVELIN ST TORRANCE 90502
CAROLDALE LC,22424 CAROLDALE AVE CARSON 90745
CARSON HS,22328 S MAIN ST CARSON 90745
LEAPWOOD ES,19302 LEAPWOOD AVE CARSON 90746
ANNALEE ES,19410 S ANNALEE AVE CARSON 90746
LOMITA MATH/SCI MAG,2211 W 247TH ST LOMITA 90717
ESHELMAN ES,25902 ESHELMAN AV LOMITA 90717
NARBONNE HS,24300 S WESTERN AVE HARBOR CITY 90710
DODSON MS,28014 MONTEREINA DR RANCHO PALOS VERDES 90275
PARK WESTERN ES,1214 PARK WESTERN SAN PEDRO 90732
WILLENBERG SP ED CTR,308 WEYMOUTH AVE SAN PEDRO 90731
7TH ST ES,1570 W SEVENTH ST SAN PEDRO 90732
SOUTH SHORES PER ARTS MG,2060 W 35TH ST SAN PEDRO 90732
TAPER ES,1824 TAPER AVE SAN PEDRO 90731
BARTON HILL ES,423 N PACIFIC AVE SAN PEDRO 90731
CABRILLO ES,732 S CABRILLO AVE SAN PEDRO 90731
DANA MS,1501 S CABRILLO AVE SAN PEDRO 90731
15TH ST ES,1527 S MESA ST SAN PEDRO 90731
LELAND ES,2120 S LELAND ST SAN PEDRO 90731
WHITE POINT ES,1410 SILVIUS AVE SAN PEDRO 90731
POINT FERMIN ES MAR SCI MAG,3333 KERCKHOFF AVE SAN PEDRO 90731
CRENSHAW STEMM MAG,5010 11TH AVE LOS ANGELES 90043
SYLMAR HS,13050 BORDEN AVE SYLMAR 91342
BIRMINGHAM HS,17000 HAYNES ST VAN NUYS 91406
NORTH HOLLYWOOD HS,5231 COLFAX AVE NO HOLLYWOOD 91601
COUGHLIN ES,11035 BORDEN AVE PACOIMA 91331
BROOKLYN EEC,329 N ARIZONA AVE LOS ANGELES 90022
CANOGA PARK EEC,7355 VASSAR AVE CANOGA PARK 91303
CRESCENT HTS EEC,1770 S ALVIRA ST LOS ANGELES 90035
EASTMAN EEC,1266 S GAGE AVE LOS ANGELES 90023
EL SERENO EEC,3802 PUEBLO AVE LOS ANGELES 90032
GATES EEC,2306 THOMAS ST LOS ANGELES 90031
GRAHAM EEC,8332 S ELM ST LOS ANGELES 90001
HAWAIIAN EEC,501 HAWAIIAN AVE WILMINGTON 90744
HOBART EEC,982 S SERRANO AVE LOS ANGELES 90006
HOLMES EEC,1810 E 52ND ST LOS ANGELES 90058
HOOPER EEC,1224 E 52ND ST LOS ANGELES 90011
MARVIN EEC,2341 CURSON AVE LOS ANGELES 90016
SOTO EEC,2616 E 7TH ST LOS ANGELES 90023
VINE EEC,6312 ELEANOR AVE LOS ANGELES 90038
SANTA MONICA COMM CH,1022 N VAN NESS AVE LOS ANGELES 90038
36TH ST EEC,3556 S ST ANDREWS PL LOS ANGELES 90018
BYRD MS,8401 ARLETA AVE SUN VALLEY 91352
MAGNOLIA SCIENCE ACADEMY 5,18230 KITTRIDGE ST RESEDA 91335
ANTON ES,831 N BONNIE BEACH PL LOS ANGELES 90063
CENTRAL CONT HS,716 E 14TH ST LOS ANGELES 90021
VIEW PARK CONT HS,4701 RODEO RD LOS ANGELES 90016
HIGHLAND PARK CONT HS,928 N AVE 53 LOS ANGELES 90045
GREY CONT HS,18230 KITTRIDGE ST RESEDA 91335
TRI-C COMM DAY SCHOOL,716 E 14TH ST- 2ND FL LOS ANGELES 90021
EAGLE TREE CONT HS,22628 S MAIN ST CARSON 90745
MONTEREY CONT HS,466 S FRASER AVE LOS ANGELES 90022
RISE KO HYANG MS,3020 WILSHIRE BLVD. SUITE 250 LOS ANGELES 90010
CITIZENS OF THE WORLD CHRTR 3,11561 GATEWAY BLVD LOS ANGELES 90064
CITY LANGUAGE IMMERSION CHRTR,4041 HILLCREST DR LOS ANGELES 90008
PREPA TEC LA,2665 CLARENDON AVE HUNTINGTON PARK 90255
ANIMO JEMISON CHRTR MS,12700 S. AVALON BLVD LOS ANGELES 90061
ANIMO OCHOA CHRTR MS,5156 WHITTIER BLVD LOS ANGELES 90022
GLOBAL EDUC ACAD 2,2020 OAK ST LOS ANGELES 90007
DOWNTOWN VALUE SCH,950 W WASHINGTON BLVD LOS ANGELES 90015
NORTHWEST DIST ADMIN OFF,6621 BALBOA BLVD VAN NUYS 91406
WEST DIST ADMIN OFF,11380 W GRAHAM PL LOS ANGELES 90064
EAST DIST ADMIN OFF,2151 N SOTO ST LOS ANGELES 90032
SOUTH DIST ADMIN OFF,1208 S MAGNOLIA AVE GARDENA 90247
RODIA CONT HS,2701 SEQUOIA DR SOUTH GATE 90280
NORTHEAST DIST ADMIN OFF,8401 ARLETA AVE SUN VALLEY 91352
CENTRAL DIST ADMIN OFF,333 S BEAUDRY AVE 11TH FLOOR LOS ANGELES 90071
PARENT COMM STUD SERV,1360 W TEMPLE ST LOS ANGELES 90026
4TH ST PC,469 AMALIA AVE LOS ANGELES 90022
VAUGHN NEXT CENT LC,11200 HERRICK AVE PACOIMA 91331
